Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,Macro Photography(매크로 사진),,"Full Shot (인물의 머리부터 발끝까지 전신을 프레임에 담는 샷. 인물의 자세, 의상, 몸짓과 주변 환경을 함께 보여줄 때 사용)",Lying Down (누운 포즈),Surprised (놀란),,Key Lighting (대상의 형태를 정의하고 장면을 주로 밝히는 주요 조명 소스. 3점 조명의 핵심이 되며 피사체의 주된 그림자 방향을 결정),Earth Tones (자연색),Peaceful (평화로운),"스포츠
야생",Canon EOS R3 + RF 400mm f/2.8L(프로 스포츠 현장의 표준. 시선 추적 AF가 선수의 눈을 놓치지 않아. 초당 30프레임 연사로 결정적 순간을 잡아내지),Tilt-Shift (실제 풍경인데도 마치 장난감 미니어처 세상처럼 보이게 만드는 기법입니다. 화면의 위아래를 흐릿하게 처리하여 거대한 도시나 군중을 귀여운 모형처럼 만듦),"Long Exposure (장노출, 빛 궤적·잔상)",Ilford Delta (현대적 흑백),asymmetrical balance (비대칭 균형),Underwater View (수중 시점),Rich Details (질감·레이어가 풍부),smooth surfaces (매끄러운 표면),,"Dolly In (줌인보다 훨씬 입체적이며, 관객의 집중을 피사체에게 강제로 쏠리게 하여 중요한 순간임을 암시하거나 긴장감을 고조)",Reflection (거울·유리·물·금속 등 반사 표면에 비치는 이미지를 활용하는 시각 연출),
,,Birds/Wildlife(새 / 야생동물),,"Two-Shot (두 인물을 한 프레임 안에 함께 담는 구도. 두 캐릭터 간의 관계, 상호작용, 감정적 역학을 동시에 보여줄 때 효과적입니다)",Leaning (기대는 포즈),Excited (흥분한),,Fill Lighting (주요 라이트에 의해 생성된 그림자를 부드럽게 만들고 대비를 줄이며 균형 잡힌 모습을 만드는 추가 조명),Neon Colors (네온 색상),Heartwarming (마음 따뜻한),,Sony A9 III + 600mm f/4 GM(글로벌 셔터라서 롤링 셔터 왜곡이 없어. 빠르게 움직이는 새나 동물 촬영에 최적화돼 있어),,"Double Exposure (이중 노출, 상징·내면 표현)",,"Quadrant Framing (화면을 4분할 하여 피사체를 하단 구석 등에 몰아넣는 파격적인 구도입니다(미드 '미스터 로봇' 스타일). 인물의 불안한 심리, 소외감, 사회 부적응을 시각적으로 강렬하게 전달)",,Sharp Focus (초점이 매우 또렷함),rounded edges (둥근 모서리),,"Dolly Out (줌아웃보다 훨씬 입체적이며, 관객의 집중을 피사체에게 강제로 쏠리게 하여 중요한 순간임을 암시하거나 긴장감을 고조)","Time-Lapse (긴 시간 동안 일정 간격으로 촬영한 사진을 이어붙여 빠르게 재생하는 기법. 구름의 이동, 꽃이 피는 과정, 도시의 하루 등 시간의 흐름을 압축해서 보여줌)",
,,Basic Videography(영상 촬영 기본),샷 앵글,Eye Level Shot (피사체의 눈높이와 동일한 위치에서 촬영하는 가장 자연스러운 앵글. 관객과 인물이 대등한 위치에서 마주하는 느낌),Crossed Arms (팔짱 낀 포즈),Calm (차분한),,"Diffused Light (부드럽고 고르게 퍼진 빛으로, 날카로운 그림자를 없애고 피사체를 균등하게 밝혀주는 조명)",Desaturated (낮은 채도),Vivid (생생한),,"Nikon Z9 + 800mm f/6.3 VR S(800mm인데 비교적 가볍고, 손떨림 보정이 강력해서 삼각대 없이도 촬영 가능. 야생동물 촬영가들 사이에서 인기 많아)",,,,Foreground Interest (전경 강조),,RAW Photo (보정 전 원본 촬영 느낌),,,Dolly Zoom (카메라는 뒤로 빠지면서 렌즈는 줌인을 하는(혹은 그 반대) 기법. 피사체 크기는 그대로인데 배경만 급격하게 왜곡되어 빨려 들어가는 듯한 현기증과 심리적 충격을 표현. 영화 '죠스'로 유명),"Hyperlapse (Time-Lapse와 달리, 카메라가 크게 이동하면서 시간을 압축하는 기법이야. 즉, 시간도 빠르고 공간도 빠르게 이동하는 것이 핵심)",
,,,,,,,,,,,,Leica M11 + Summilux 50mm f/1.4(50mm 화각의 클래식한 렌즈. 보케가 아름답고 인물·스트리트 모두에서 뛰어난 표현력),,,,,,,,,,,
,,Documentary Photography(다큐멘터리),,"higher angle (카메라가 인물보다 높은 위치에서 아래를 내려다봄. 인물을 작고 왜소하게 보이게 하여 약함, 외로움, 무력함, 혹은 귀여움을 표현)",Hands in Pockets (주머니에 손),Melancholic (우울한),인물조명,Rembrandt Lighting (렘브란트 화가의 그림처럼 한쪽 뺨에 삼각형 빛이 생기는 조명. 클래식하고 예술적인 인물 사진에 적합),High Saturation (높은 채도),Colorful (다채로운),영상,"Sony FX3 + 24-70mm f/2.8 GM II(시네마 라인 바디에 만능 줌 렌즈. S-Log3로 넓은 다이나믹 레인지 확보하고, AF가 영상 중에도 부드럽게 따라가)",,,,Background Emphasis (배경 강조),,Professional Quality (전문가 수준),,,"Tracking Shot (카메라가 레일이나 차량을 타고 피사체와 나란히 이동하며 촬영합니다. 걷거나 뛰는 인물의 속도감을 그대로 전달하며, 관객이 함께 움직이는 듯한 동행감을 줍니다)",Speed Ramp (영상 재생 속도를 구간별로 부드럽게 변화시키는 편집 기법이야. 느리게(Slow) → 빠르게(Fast) → 다시 느리게 식으로 속도를 ‘램프(ramp)’처럼 조절해),
,,Fashion Editorials(패션 화보),,"Low Angle (카메라가 인물보다 낮은 위치에서 위를 올려다보는 앵글. 인물을 거대하고 웅장하게 보이게 하여 권위, 힘, 공포감, 혹은 영웅적인 면모를 부각)",Hand on Hip (손을 허리에),Angry (화난),,Loop Lighting (코 옆에 작은 그림자가 생기는 조명. 자연스럽고 가장 보편적으로 사용되는 인물 조명),Black and White (흑백),Dark (어두운),,"Canon EOS R5 C + RF 24-105mm f/4L(8K 내부 녹화가 가능한 하이브리드 바디. 다큐멘터리나 인터뷰 촬영에 적합하고, 렌즈가 가벼워서 짐벌 운용이 수월해)",,,,Depth Layering (깊이감 레이어),,Award Winning (수상작 느낌),,,"Crane Shot (크레인에 카메라를 장착하여 높이 올라가거나 내려오며 촬영. 웅장한 스케일감과 극적인 순간을 연출하며, 신의 시점처럼 장면을 조망)","Freeze Frame (영상의 한 프레임을 정지시켜 사진처럼 보여주는 기법. 결정적인 순간을 강조하거나, 영화의 엔딩에서 기억에 남는 이미지를 만들 때 사용)",
,,Street Photography(스트리트 포토그래피),,Bird's Eye View (하늘에서 수직으로(90도) 내려다보는 시점입니다. 하이 앵글보다 훨씬 높고 기하학적. 인물들의 동선이나 세상의 패턴을 신(God)의 시선처럼 조망할 때 사용),Arms Raised (팔을 든 포즈),Fearful (두려워하는),,Butterfly Lighting (코 아래에 나비 모양 그림자가 생기는 조명. 광대뼈를 강조하고 글래머러스한 느낌을 줌),Sepia Tone (세피아 톤),Bright (밝은),,"Panasonic S5 II + 50mm f/1.4 S(위상차 AF가 추가되면서 완성도가 높아졌어. 풀프레임 영상 바디 중 가성비 최강이고, 50mm로 시네마틱한 느낌을 낼 수 있어)",,,,Triangular Composition (삼각 구도),, chibi details,,,"Steadicam (핸드헬드와 달리, 기계 장치를 이용해 미끄러지듯 부드럽게 따라가는 연출. 좁은 복도나 계단을 이동할 때 마치 유령이 둥둥 떠다니며 관찰하는 듯한 부드럽고 몽환적인 느낌)",Split Screen (화면을 둘 이상으로 나누어 동시에 여러 장면을 보여주는 기법. 서로 다른 장소에서 동시에 일어나는 사건이나 대비되는 상황을 효과적으로 전달),
,,Architectural Photography(건축 사진),,"Worm's Eye View (땅바닥에 붙어서 벌레가 보는 시점처럼 극도로 낮게 올려다봅니다. 로우 앵글의 극단적인 형태입니다. 피사체가 거인처럼 보이거나, 세상이 기괴하고 낯설게 보이는 효과)",Looking Over Shoulder (뒤돌아보기),Joyful (기쁜),,"Split Lighting (얼굴의 딱 절반은 밝게, 절반은 어둠에 묻히게 비춤. 인물의 양면성, 갈등, 숨겨진 비밀을 시각적으로 강렬하게 암시)",Cyan and Orange (청록과 오렌지),Romantic (로맨틱한),매크로,"Nikon Z8 + MC 105mm f/2.8 VR S(1:1 배율에 손떨림 보정까지. 곤충의 눈, 꽃잎의 질감을 그대로 담아내. 제품 촬영에서도 디테일이 살아있어)",,,,Radial Composition (방사형 구도),,Visible Pores (피부의 모공이 자연스럽게 보이는 극사실적 표현),,,"Snorricam (배우의 몸(가슴)에 카메라를 장착하여 배우의 얼굴을 정면에서 비춥니다. 배경은 심하게 흔들리는데 배우 얼굴만 고정되어 있어, 인물의 공황 상태, 취함, 혹은 극한의 도주 상황을 리얼하게 보여줌)",Lens Distortion (렌즈 특성 때문에 화면 가장자리가 휘어지거나 늘어나는 왜곡 현상),
,,Underwater Photography(수중 촬영),,"Dutch Angle (카메라를 의도적으로 기울여 촬영하는 기법. 화면이 비스듬해져 불안정함, 혼란, 긴장감, 또는 인물의 심리적 불균형을 시각적으로 표현)",Crouching (쪼그려 앉기),Sad (슬픈),,Broad Lighting (카메라 쪽 얼굴이 밝음 (더 넓어 보임)),bright colors (밝은 색상),Epic (장엄한),,Sony A7R V + 90mm f/2.8 Macro G(가볍고 AF가 빨라서 매크로 촬영 입문자에게도 좋아. 인물 촬영 겸용으로도 괜찮고),,,,Pattern Repetition (패턴 반복),,Natural Skin Oils (피부 위의 자연스러운 유분기와 윤기 표현),,,"Low Angle Tracking (카메라가 바닥에 거의 붙어서, 달리는 사람의 발이나 자동차 바퀴 옆을 빠르게 따라갑니다. 땅바닥이 뒤로 휙휙 지나가는 질감이 강조되어 속도감이 극대화)","Chromatic Aberration (렌즈가 빛의 색(파장)을 완벽히 한 점에 모으지 못해, 경계 부분에 빨강·파랑 같은 색 번짐이 생기는 현상)",
,,Aerial Photography(항공 촬영),,Over-the-Shoulder (한 인물의 어깨 너머로 다른 인물을 촬영하는 구도. 대화 장면에서 두 인물의 관계와 시선 교환을 자연스럽게 보여주며 관객을 대화 속으로 끌어들입니다),Kneeling (무릎 꿇기),Neutral (무표정),,Short Lighting (카메라 쪽 얼굴이 어둡고 반대쪽이 밝음 (더 슬림해 보임)),glossy (광택),Intimate (친밀한),,Canon EOS R5 + RF 100mm f/2.8L Macro(SA 컨트롤 링으로 아웃포커싱 모양을 조절할 수 있어. 제품 사진에서 부드러운 보케가 필요할 때 유용하지),,,,Headroom (위쪽 공간 긴박·답답),,Fine Facial Hair (잔털과 솜털이 보이는 세밀한 피부 묘사),,,Drone Flyover (드론이 피사체나 지형 위를 상공에서 앞으로 날아가며 지나가는 무빙),Crash Zoom (아주 짧은 순간에 급격하게 줌인(Zoom In)을 합니다. 인물의 놀란 표정이나 중요한 물건을 강조할 때 만화적인 임팩트),
,,,,,Profile Stance (측면 자세),Intense (강렬한),,Portrait Top Light (위쪽에서 내려오는 조명으로 인물을 촬영하여 극적인 그림자와 강인한 인상을 연출),shiny (반짝),Energetic (활기찬),천체,"Sony A7S III + 14mm f/1.8 GM(저조도의 제왕. ISO 51200에서도 노이즈가 적고, 14mm 초광각에 f/1.8 밝기라 별이 점으로 찍혀. 은하수 아치 전체를 한 프레임에 담을 수 있어)",,,,Nose Room (앞쪽 공간 심리적 압박),,Unretouched (보정하지 않은 원본 그대로의 피부 질감),,,FPV Drone (드론에 장착된 카메라의 *1인칭 시점* 빠르고 민첩하게 공간을 가로지르는 무빙 훨씬 저고도·고속·급회전·다이브가 가능해서 역동성이 강함),"Shockwave (강력한 폭발이나 초능력 발동 시, 공기가 찢어지며 퍼져나가는 투명한 파동을 시각화합니다. 드래곤볼이나 마블 영화처럼 파괴력의 규모를 웅장하게 보여줌)",
,,concept art,,"profile shot (캐릭터의 측면을 보여주는 구도. 얼굴의 윤곽선과 프로필을 강조하며, 고전적이고 우아한 인물 표현에 적합)",Action Pose (역동적인 동작이나 움직임을 하는 캐릭터를 포착한 구도. 에너지와 운동감을 전달하며 액션 장면에 필수적),Gentle (부드러운),,Portrait Bottom Light (아래쪽에서 올라오는 조명으로 인물을 촬영하여 신비롭거나 위협적인 분위기를 연출),lustrous (윤기),Serene (고요한),,Nikon Z6 III + 20mm f/1.8 S(가성비 좋은 천체 조합. 코마 수차가 거의 없어서 화면 구석의 별도 동그랗게 찍혀. 타임랩스 촬영에도 적합해),,,,,,Raw Authentic Beauty (있는 그대로의 자연스러운 아름다움 표현),,,Orbit Shot (카메라가 피사체를 중심으로 원을 그리며 360° 또는 그에 가까운 궤도로 이동하는 무빙),"Muzzle Flash (총구에서 불꽃이 뿜어져 나오는 찰나의 순간입니다. 어두운 곳에서 이 불빛이 인물의 얼굴과 공간을 순간적으로 비추며, 누아르적인 긴장감과 액션의 리듬감을 만듦)",
